Frequency (Hz)	Level (dB)
0.732422	-57.092316
1.464844	-56.810570
2.197266	-56.596561
2.929688	-56.258999
3.662109	-56.476135
4.394531	-55.921616
5.126953	-55.950180
5.859375	-56.280308
6.591797	-55.303116
7.324219	-56.192955
8.056641	-55.125042
8.789062	-55.205463
9.521484	-55.409603
10.253906	-55.205177
10.986328	-54.905682
11.718750	-55.085880
12.451172	-55.008389
13.183594	-54.304665
13.916016	-54.717155
14.648438	-54.309021
15.380859	-54.066505
16.113281	-54.224979
16.845703	-54.669533
17.578125	-54.097610
18.310547	-54.182133
19.042969	-53.791122
19.775391	-53.456047
20.507812	-53.571938
21.240234	-53.808670
21.972656	-53.507034
22.705078	-53.618156
23.437500	-52.952908
24.169922	-52.673237
24.902344	-52.696674
25.634766	-52.589111
26.367188	-51.996944
27.099609	-51.760460
27.832031	-51.249546
28.564453	-50.726898
29.296875	-50.046501
30.029297	-48.976818
30.761719	-48.265987
31.494141	-47.707367
32.226562	-46.836525
32.958984	-45.573513
33.691406	-42.174397
34.423828	-37.471703
35.156250	-36.247448
35.888672	-36.446121
36.621094	-38.653053
37.353516	-38.702961
38.085938	-35.095917
38.818359	-26.738550
39.550781	-27.998589
40.283203	-28.418633
41.015625	-31.239611
41.748047	-33.588333
42.480469	-32.323521
43.212891	-26.515581
43.945312	-24.704361
44.677734	-25.654795
45.410156	-26.863861
46.142578	-23.640429
46.875000	-23.607744
47.607422	-26.194084
48.339844	-30.122820
49.072266	-26.618776
49.804688	-29.356512
50.537109	-31.003302
51.269531	-24.165081
52.001953	-23.951548
52.734375	-25.203407
53.466797	-26.580616
54.199219	-29.286036
54.931641	-30.913128
55.664062	-29.509890
56.396484	-30.222334
57.128906	-29.623268
57.861328	-23.651566
58.593750	-22.322283
59.326172	-25.089931
60.058594	-26.998493
60.791016	-29.484653
61.523438	-31.769459
62.255859	-31.024239
62.988281	-31.313917
63.720703	-34.752602
64.453125	-32.480980
65.185547	-33.123837
65.917969	-36.161320
66.650391	-32.958344
67.382812	-34.387085
68.115234	-35.973824
68.847656	-34.101452
69.580078	-34.383507
70.312500	-36.434879
71.044922	-34.629623
71.777344	-35.022350
72.509766	-36.966290
73.242188	-34.516022
73.974609	-35.886932
74.707031	-36.347931
75.439453	-35.472797
76.171875	-35.200817
76.904297	-33.470287
77.636719	-29.042727
78.369141	-31.634851
79.101562	-35.399727
79.833984	-35.240528
80.566406	-36.325409
81.298828	-36.546394
82.031250	-36.501732
82.763672	-36.851341
83.496094	-36.288502
84.228516	-36.763195
84.960938	-36.291183
85.693359	-35.773525
